"label","n","parent","id"
"Action",17421,NA,"Action"
"Adult",225,NA,"Adult"
"Adventure",10156,NA,"Adventure"
"Animation",4609,NA,"Animation"
"Biography",1020,NA,"Biography"
"Comedy",17357,NA,"Comedy"
"Crime",12500,NA,"Crime"
"Documentary",2104,NA,"Documentary"
"Drama",30278,NA,"Drama"
"Family",1881,NA,"Family"
"Fantasy",3106,NA,"Fantasy"
"Film Noir",226,NA,"Film Noir"
"Game Show",479,NA,"Game Show"
"History",336,NA,"History"
"Horror",2659,NA,"Horror"
"Music",926,NA,"Music"
"Musical",295,NA,"Musical"
"Mystery",4865,NA,"Mystery"
"Reality TV",889,NA,"Reality TV"
"Romance",8910,NA,"Romance"
"Sci Fi",2664,NA,"Sci Fi"
"Short",68,NA,"Short"
"Sport",858,NA,"Sport"
"Talk Show",9,NA,"Talk Show"
"Thriller",7170,NA,"Thriller"
"War",376,NA,"War"
"Western",110,NA,"Western"
"Argentina",130,"Action","Action  -  Argentina"
"Argentina",1,"Adult","Adult  -  Argentina"
"Argentina",98,"Adventure","Adventure  -  Argentina"
"Argentina",58,"Animation","Animation  -  Argentina"
"Argentina",8,"Biography","Biography  -  Argentina"
"Argentina",170,"Comedy","Comedy  -  Argentina"
"Argentina",138,"Crime","Crime  -  Argentina"
"Argentina",17,"Documentary","Documentary  -  Argentina"
"Argentina",361,"Drama","Drama  -  Argentina"
"Argentina",13,"Family","Family  -  Argentina"
"Argentina",17,"Fantasy","Fantasy  -  Argentina"
"Argentina",2,"Film Noir","Film Noir  -  Argentina"
"Argentina",2,"History","History  -  Argentina"
"Argentina",29,"Horror","Horror  -  Argentina"
"Argentina",35,"Music","Music  -  Argentina"
"Argentina",1,"Musical","Musical  -  Argentina"
"Argentina",59,"Mystery","Mystery  -  Argentina"
"Argentina",102,"Romance","Romance  -  Argentina"
"Argentina",12,"Sci Fi","Sci Fi  -  Argentina"
"Argentina",9,"Sport","Sport  -  Argentina"
"Argentina",84,"Thriller","Thriller  -  Argentina"
"Argentina",3,"War","War  -  Argentina"
"Argentina",4,"Western","Western  -  Argentina"
"Australia",198,"Action","Action  -  Australia"
"Australia",1,"Adult","Adult  -  Australia"
"Australia",130,"Adventure","Adventure  -  Australia"
"Australia",50,"Animation","Animation  -  Australia"
"Australia",14,"Biography","Biography  -  Australia"
"Australia",197,"Comedy","Comedy  -  Australia"
"Australia",141,"Crime","Crime  -  Australia"
"Australia",39,"Documentary","Documentary  -  Australia"
"Australia",295,"Drama","Drama  -  Australia"
"Australia",32,"Family","Family  -  Australia"
"Australia",47,"Fantasy","Fantasy  -  Australia"
"Australia",2,"Film Noir","Film Noir  -  Australia"
"Australia",7,"Game Show","Game Show  -  Australia"
"Australia",6,"History","History  -  Australia"
"Australia",27,"Horror","Horror  -  Australia"
"Australia",2,"Music","Music  -  Australia"
"Australia",4,"Musical","Musical  -  Australia"
"Australia",52,"Mystery","Mystery  -  Australia"
"Australia",25,"Reality TV","Reality TV  -  Australia"
"Australia",71,"Romance","Romance  -  Australia"
"Australia",47,"Sci Fi","Sci Fi  -  Australia"
"Australia",1,"Short","Short  -  Australia"
"Australia",11,"Sport","Sport  -  Australia"
"Australia",68,"Thriller","Thriller  -  Australia"
"Australia",8,"War","War  -  Australia"
"Australia",2,"Western","Western  -  Australia"
"Austria",197,"Action","Action  -  Austria"
"Austria",4,"Adult","Adult  -  Austria"
"Austria",115,"Adventure","Adventure  -  Austria"
"Austria",34,"Animation","Animation  -  Austria"
"Austria",16,"Biography","Biography  -  Austria"
"Austria",184,"Comedy","Comedy  -  Austria"
"Austria",158,"Crime","Crime  -  Austria"
"Austria",31,"Documentary","Documentary  -  Austria"
"Austria",323,"Drama","Drama  -  Austria"
"Austria",36,"Family","Family  -  Austria"
"Austria",51,"Fantasy","Fantasy  -  Austria"
"Austria",2,"Film Noir","Film Noir  -  Austria"
"Austria",6,"Game Show","Game Show  -  Austria"
"Austria",3,"History","History  -  Austria"
"Austria",33,"Horror","Horror  -  Austria"
"Austria",1,"Music","Music  -  Austria"
"Austria",1,"Musical","Musical  -  Austria"
"Austria",61,"Mystery","Mystery  -  Austria"
"Austria",11,"Reality TV","Reality TV  -  Austria"
"Austria",80,"Romance","Romance  -  Austria"
"Austria",21,"Sci Fi","Sci Fi  -  Austria"
"Austria",17,"Sport","Sport  -  Austria"
"Austria",84,"Thriller","Thriller  -  Austria"
"Austria",3,"War","War  -  Austria"
"Bahamas",176,"Action","Action  -  Bahamas"
"Bahamas",1,"Adult","Adult  -  Bahamas"
"Bahamas",96,"Adventure","Adventure  -  Bahamas"
"Bahamas",76,"Animation","Animation  -  Bahamas"
"Bahamas",11,"Biography","Biography  -  Bahamas"
"Bahamas",186,"Comedy","Comedy  -  Bahamas"
"Bahamas",146,"Crime","Crime  -  Bahamas"
"Bahamas",15,"Documentary","Documentary  -  Bahamas"
"Bahamas",300,"Drama","Drama  -  Bahamas"
"Bahamas",45,"Family","Family  -  Bahamas"
"Bahamas",30,"Fantasy","Fantasy  -  Bahamas"
"Bahamas",3,"Film Noir","Film Noir  -  Bahamas"
"Bahamas",5,"Game Show","Game Show  -  Bahamas"
"Bahamas",30,"Horror","Horror  -  Bahamas"
"Bahamas",2,"Music","Music  -  Bahamas"
"Bahamas",37,"Mystery","Mystery  -  Bahamas"
"Bahamas",9,"Reality TV","Reality TV  -  Bahamas"
"Bahamas",64,"Romance","Romance  -  Bahamas"
"Bahamas",22,"Sci Fi","Sci Fi  -  Bahamas"
"Bahamas",8,"Sport","Sport  -  Bahamas"
"Bahamas",94,"Thriller","Thriller  -  Bahamas"
"Bahamas",4,"War","War  -  Bahamas"
"Bahamas",3,"Western","Western  -  Bahamas"
"Bahrain",195,"Action","Action  -  Bahrain"
"Bahrain",2,"Adult","Adult  -  Bahrain"
"Bahrain",101,"Adventure","Adventure  -  Bahrain"
"Bahrain",37,"Animation","Animation  -  Bahrain"
"Bahrain",17,"Biography","Biography  -  Bahrain"
