"id","n","label","parent"
"total  -  Action  -  Brazil",161,"Brazil","total  -  Action"
"total  -  Adventure  -  Brazil",153,"Brazil","total  -  Adventure"
"total  -  Animation  -  Brazil",71,"Brazil","total  -  Animation"
"total  -  Comedy  -  Brazil",175,"Brazil","total  -  Comedy"
"total  -  Crime  -  Brazil",119,"Brazil","total  -  Crime"
"total  -  Drama  -  Brazil",297,"Brazil","total  -  Drama"
"total  -  Family  -  Brazil",102,"Brazil","total  -  Family"
"total  -  Musical  -  Brazil",54,"Brazil","total  -  Musical"
"total  -  Romance  -  Brazil",118,"Brazil","total  -  Romance"
"total  -  Thriller  -  Brazil",65,"Brazil","total  -  Thriller"
"total  -  Action  -  Bulgaria",218,"Bulgaria","total  -  Action"
"total  -  Adventure  -  Bulgaria",119,"Bulgaria","total  -  Adventure"
"total  -  Animation  -  Bulgaria",48,"Bulgaria","total  -  Animation"
"total  -  Comedy  -  Bulgaria",186,"Bulgaria","total  -  Comedy"
"total  -  Crime  -  Bulgaria",127,"Bulgaria","total  -  Crime"
"total  -  Drama  -  Bulgaria",316,"Bulgaria","total  -  Drama"
"total  -  Mystery  -  Bulgaria",46,"Bulgaria","total  -  Mystery"
"total  -  Romance  -  Bulgaria",97,"Bulgaria","total  -  Romance"
"total  -  Sci Fi  -  Bulgaria",40,"Bulgaria","total  -  Sci Fi"
"total  -  Thriller  -  Bulgaria",69,"Bulgaria","total  -  Thriller"
"total  -  Action  -  Canada",174,"Canada","total  -  Action"
"total  -  Adventure  -  Canada",96,"Canada","total  -  Adventure"
"total  -  Animation  -  Canada",50,"Canada","total  -  Animation"
"total  -  Comedy  -  Canada",179,"Canada","total  -  Comedy"
"total  -  Crime  -  Canada",156,"Canada","total  -  Crime"
"total  -  Documentary  -  Canada",35,"Canada","total  -  Documentary"
"total  -  Drama  -  Canada",293,"Canada","total  -  Drama"
"total  -  Mystery  -  Canada",61,"Canada","total  -  Mystery"
"total  -  Romance  -  Canada",70,"Canada","total  -  Romance"
"total  -  Sci Fi  -  Canada",35,"Canada","total  -  Sci Fi"
"total  -  Thriller  -  Canada",74,"Canada","total  -  Thriller"
"total  -  Action  -  Chile",130,"Chile","total  -  Action"
"total  -  Adventure  -  Chile",115,"Chile","total  -  Adventure"
"total  -  Animation  -  Chile",76,"Chile","total  -  Animation"
"total  -  Comedy  -  Chile",202,"Chile","total  -  Comedy"
"total  -  Crime  -  Chile",104,"Chile","total  -  Crime"
"total  -  Drama  -  Chile",329,"Chile","total  -  Drama"
"total  -  Music  -  Chile",35,"Chile","total  -  Music"
"total  -  Mystery  -  Chile",43,"Chile","total  -  Mystery"
"total  -  Romance  -  Chile",124,"Chile","total  -  Romance"
"total  -  Thriller  -  Chile",64,"Chile","total  -  Thriller"
"total  -  Action  -  Colombia",144,"Colombia","total  -  Action"
"total  -  Adventure  -  Colombia",104,"Colombia","total  -  Adventure"
"total  -  Animation  -  Colombia",63,"Colombia","total  -  Animation"
"total  -  Comedy  -  Colombia",192,"Colombia","total  -  Comedy"
"total  -  Crime  -  Colombia",113,"Colombia","total  -  Crime"
"total  -  Documentary  -  Colombia",34,"Colombia","total  -  Documentary"
"total  -  Drama  -  Colombia",284,"Colombia","total  -  Drama"
"total  -  Mystery  -  Colombia",43,"Colombia","total  -  Mystery"
"total  -  Romance  -  Colombia",113,"Colombia","total  -  Romance"
"total  -  Thriller  -  Colombia",79,"Colombia","total  -  Thriller"
"total  -  Action  -  Costa Rica",123,"Costa Rica","total  -  Action"
"total  -  Adventure  -  Costa Rica",95,"Costa Rica","total  -  Adventure"
"total  -  Animation  -  Costa Rica",62,"Costa Rica","total  -  Animation"
"total  -  Comedy  -  Costa Rica",202,"Costa Rica","total  -  Comedy"
"total  -  Crime  -  Costa Rica",101,"Costa Rica","total  -  Crime"
"total  -  Drama  -  Costa Rica",319,"Costa Rica","total  -  Drama"
"total  -  Music  -  Costa Rica",32,"Costa Rica","total  -  Music"
"total  -  Mystery  -  Costa Rica",40,"Costa Rica","total  -  Mystery"
"total  -  Romance  -  Costa Rica",133,"Costa Rica","total  -  Romance"
"total  -  Thriller  -  Costa Rica",76,"Costa Rica","total  -  Thriller"
"total  -  Action  -  Croatia",173,"Croatia","total  -  Action"
"total  -  Adventure  -  Croatia",108,"Croatia","total  -  Adventure"
"total  -  Animation  -  Croatia",53,"Croatia","total  -  Animation"
"total  -  Comedy  -  Croatia",206,"Croatia","total  -  Comedy"
"total  -  Crime  -  Croatia",141,"Croatia","total  -  Crime"
"total  -  Documentary  -  Croatia",32,"Croatia","total  -  Documentary"
"total  -  Drama  -  Croatia",307,"Croatia","total  -  Drama"
"total  -  Mystery  -  Croatia",48,"Croatia","total  -  Mystery"
"total  -  Romance  -  Croatia",89,"Croatia","total  -  Romance"
"total  -  Thriller  -  Croatia",69,"Croatia","total  -  Thriller"
"total  -  Action  -  Cyprus",195,"Cyprus","total  -  Action"
"total  -  Adventure  -  Cyprus",122,"Cyprus","total  -  Adventure"
"total  -  Animation  -  Cyprus",47,"Cyprus","total  -  Animation"
"total  -  Comedy  -  Cyprus",195,"Cyprus","total  -  Comedy"
