"id","n","label","parent"
"total  -  Comedy  -  Japan",162,"Japan","total  -  Comedy"
"total  -  Crime  -  Japan",78,"Japan","total  -  Crime"
"total  -  Drama  -  Japan",277,"Japan","total  -  Drama"
"total  -  Horror  -  Japan",39,"Japan","total  -  Horror"
"total  -  Mystery  -  Japan",38,"Japan","total  -  Mystery"
"total  -  Romance  -  Japan",165,"Japan","total  -  Romance"
"total  -  Thriller  -  Japan",65,"Japan","total  -  Thriller"
"total  -  Action  -  Jordan",197,"Jordan","total  -  Action"
"total  -  Adventure  -  Jordan",88,"Jordan","total  -  Adventure"
"total  -  Animation  -  Jordan",33,"Jordan","total  -  Animation"
"total  -  Comedy  -  Jordan",243,"Jordan","total  -  Comedy"
"total  -  Crime  -  Jordan",118,"Jordan","total  -  Crime"
"total  -  Drama  -  Jordan",297,"Jordan","total  -  Drama"
"total  -  Fantasy  -  Jordan",32,"Jordan","total  -  Fantasy"
"total  -  Mystery  -  Jordan",39,"Jordan","total  -  Mystery"
"total  -  Romance  -  Jordan",165,"Jordan","total  -  Romance"
"total  -  Thriller  -  Jordan",84,"Jordan","total  -  Thriller"
"total  -  Action  -  Kenya",196,"Kenya","total  -  Action"
"total  -  Adventure  -  Kenya",85,"Kenya","total  -  Adventure"
"total  -  Animation  -  Kenya",27,"Kenya","total  -  Animation"
"total  -  Comedy  -  Kenya",192,"Kenya","total  -  Comedy"
"total  -  Crime  -  Kenya",136,"Kenya","total  -  Crime"
"total  -  Drama  -  Kenya",337,"Kenya","total  -  Drama"
"total  -  Fantasy  -  Kenya",27,"Kenya","total  -  Fantasy"
"total  -  Mystery  -  Kenya",51,"Kenya","total  -  Mystery"
"total  -  Romance  -  Kenya",92,"Kenya","total  -  Romance"
"total  -  Sci Fi  -  Kenya",35,"Kenya","total  -  Sci Fi"
"total  -  Thriller  -  Kenya",94,"Kenya","total  -  Thriller"
"total  -  Action  -  Kuwait",211,"Kuwait","total  -  Action"
"total  -  Adventure  -  Kuwait",119,"Kuwait","total  -  Adventure"
"total  -  Animation  -  Kuwait",56,"Kuwait","total  -  Animation"
"total  -  Comedy  -  Kuwait",175,"Kuwait","total  -  Comedy"
"total  -  Crime  -  Kuwait",119,"Kuwait","total  -  Crime"
"total  -  Drama  -  Kuwait",325,"Kuwait","total  -  Drama"
"total  -  Fantasy  -  Kuwait",42,"Kuwait","total  -  Fantasy"
"total  -  Mystery  -  Kuwait",52,"Kuwait","total  -  Mystery"
"total  -  Romance  -  Kuwait",77,"Kuwait","total  -  Romance"
"total  -  Thriller  -  Kuwait",96,"Kuwait","total  -  Thriller"
"total  -  Action  -  Latvia",175,"Latvia","total  -  Action"
"total  -  Adventure  -  Latvia",132,"Latvia","total  -  Adventure"
"total  -  Animation  -  Latvia",81,"Latvia","total  -  Animation"
"total  -  Comedy  -  Latvia",238,"Latvia","total  -  Comedy"
"total  -  Crime  -  Latvia",121,"Latvia","total  -  Crime"
"total  -  Drama  -  Latvia",269,"Latvia","total  -  Drama"
"total  -  Mystery  -  Latvia",63,"Latvia","total  -  Mystery"
"total  -  Romance  -  Latvia",86,"Latvia","total  -  Romance"
"total  -  Sci Fi  -  Latvia",39,"Latvia","total  -  Sci Fi"
"total  -  Thriller  -  Latvia",62,"Latvia","total  -  Thriller"
"total  -  Action  -  Lebanon",191,"Lebanon","total  -  Action"
"total  -  Adventure  -  Lebanon",92,"Lebanon","total  -  Adventure"
"total  -  Comedy  -  Lebanon",190,"Lebanon","total  -  Comedy"
"total  -  Crime  -  Lebanon",133,"Lebanon","total  -  Crime"
"total  -  Drama  -  Lebanon",376,"Lebanon","total  -  Drama"
"total  -  Fantasy  -  Lebanon",45,"Lebanon","total  -  Fantasy"
"total  -  Mystery  -  Lebanon",37,"Lebanon","total  -  Mystery"
"total  -  Romance  -  Lebanon",112,"Lebanon","total  -  Romance"
"total  -  Sci Fi  -  Lebanon",27,"Lebanon","total  -  Sci Fi"
"total  -  Thriller  -  Lebanon",88,"Lebanon","total  -  Thriller"
"total  -  Action  -  Lithuania",147,"Lithuania","total  -  Action"
"total  -  Adventure  -  Lithuania",92,"Lithuania","total  -  Adventure"
"total  -  Animation  -  Lithuania",49,"Lithuania","total  -  Animation"
"total  -  Comedy  -  Lithuania",221,"Lithuania","total  -  Comedy"
"total  -  Crime  -  Lithuania",121,"Lithuania","total  -  Crime"
"total  -  Documentary  -  Lithuania",32,"Lithuania","total  -  Documentary"
"total  -  Drama  -  Lithuania",261,"Lithuania","total  -  Drama"
"total  -  Mystery  -  Lithuania",50,"Lithuania","total  -  Mystery"
"total  -  Romance  -  Lithuania",100,"Lithuania","total  -  Romance"
"total  -  Thriller  -  Lithuania",66,"Lithuania","total  -  Thriller"
"total  -  Action  -  Luxembourg",168,"Luxembourg","total  -  Action"
"total  -  Adventure  -  Luxembourg",119,"Luxembourg","total  -  Adventure"
"total  -  Animation  -  Luxembourg",53,"Luxembourg","total  -  Animation"
"total  -  Comedy  -  Luxembourg",186,"Luxembourg","total  -  Comedy"
"total  -  Crime  -  Luxembourg",137,"Luxembourg","total  -  Crime"
"total  -  Drama  -  Luxembourg",345,"Luxembourg","total  -  Drama"
"total  -  Fantasy  -  Luxembourg",42,"Luxembourg","total  -  Fantasy"
"total  -  Mystery  -  Luxembourg",50,"Luxembourg","total  -  Mystery"
"total  -  Romance  -  Luxembourg",91,"Luxembourg","total  -  Romance"
"total  -  Thriller  -  Luxembourg",68,"Luxembourg","total  -  Thriller"
"total  -  Action  -  Malaysia",238,"Malaysia","total  -  Action"
"total  -  Adventure  -  Malaysia",112,"Malaysia","total  -  Adventure"
"total  -  Animation  -  Malaysia",42,"Malaysia","total  -  Animation"
"total  -  Comedy  -  Malaysia",193,"Malaysia","total  -  Comedy"
"total  -  Crime  -  Malaysia",141,"Malaysia","total  -  Crime"
"total  -  Drama  -  Malaysia",298,"Malaysia","total  -  Drama"
"total  -  Horror  -  Malaysia",40,"Malaysia","total  -  Horror"
"total  -  Mystery  -  Malaysia",71,"Malaysia","total  -  Mystery"
"total  -  Romance  -  Malaysia",106,"Malaysia","total  -  Romance"
"total  -  Thriller  -  Malaysia",88,"Malaysia","total  -  Thriller"
"total  -  Action  -  Maldives",189,"Maldives","total  -  Action"
"total  -  Adventure  -  Maldives",88,"Maldives","total  -  Adventure"
"total  -  Animation  -  Maldives",43,"Maldives","total  -  Animation"
"total  -  Comedy  -  Maldives",189,"Maldives","total  -  Comedy"
"total  -  Crime  -  Maldives",154,"Maldives","total  -  Crime"
"total  -  Drama  -  Maldives",332,"Maldives","total  -  Drama"
"total  -  Fantasy  -  Maldives",31,"Maldives","total  -  Fantasy"
"total  -  Mystery  -  Maldives",75,"Maldives","total  -  Mystery"
"total  -  Romance  -  Maldives",92,"Maldives","total  -  Romance"
"total  -  Sci Fi  -  Maldives",31,"Maldives","total  -  Sci Fi"
"total  -  Thriller  -  Maldives",77,"Maldives","total  -  Thriller"
"total  -  Action  -  Malta",171,"Malta","total  -  Action"
"total  -  Adventure  -  Malta",76,"Malta","total  -  Adventure"
"total  -  Comedy  -  Malta",169,"Malta","total  -  Comedy"
"total  -  Crime  -  Malta",156,"Malta","total  -  Crime"
"total  -  Documentary  -  Malta",24,"Malta","total  -  Documentary"
"total  -  Drama  -  Malta",343,"Malta","total  -  Drama"
"total  -  Mystery  -  Malta",56,"Malta","total  -  Mystery"
"total  -  Romance  -  Malta",103,"Malta","total  -  Romance"
"total  -  Sci Fi  -  Malta",39,"Malta","total  -  Sci Fi"
"total  -  Thriller  -  Malta",86,"Malta","total  -  Thriller"
"total  -  Action  -  Martinique",211,"Martinique","total  -  Action"
"total  -  Adventure  -  Martinique",107,"Martinique","total  -  Adventure"
"total  -  Animation  -  Martinique",48,"Martinique","total  -  Animation"
"total  -  Comedy  -  Martinique",171,"Martinique","total  -  Comedy"
"total  -  Crime  -  Martinique",137,"Martinique","total  -  Crime"
"total  -  Drama  -  Martinique",347,"Martinique","total  -  Drama"
"total  -  Fantasy  -  Martinique",40,"Martinique","total  -  Fantasy"
"total  -  Mystery  -  Martinique",41,"Martinique","total  -  Mystery"
"total  -  Romance  -  Martinique",75,"Martinique","total  -  Romance"
"total  -  Thriller  -  Martinique",75,"Martinique","total  -  Thriller"
"total  -  Action  -  Mauritius",199,"Mauritius","total  -  Action"
"total  -  Adventure  -  Mauritius",95,"Mauritius","total  -  Adventure"
"total  -  Comedy  -  Mauritius",209,"Mauritius","total  -  Comedy"
"total  -  Crime  -  Mauritius",141,"Mauritius","total  -  Crime"
"total  -  Drama  -  Mauritius",332,"Mauritius","total  -  Drama"
"total  -  Fantasy  -  Mauritius",40,"Mauritius","total  -  Fantasy"
"total  -  Mystery  -  Mauritius",64,"Mauritius","total  -  Mystery"
"total  -  Romance  -  Mauritius",90,"Mauritius","total  -  Romance"
"total  -  Sci Fi  -  Mauritius",38,"Mauritius","total  -  Sci Fi"
"total  -  Thriller  -  Mauritius",74,"Mauritius","total  -  Thriller"
"total  -  Action  -  Mexico",121,"Mexico","total  -  Action"
"total  -  Adventure  -  Mexico",125,"Mexico","total  -  Adventure"
"total  -  Animation  -  Mexico",88,"Mexico","total  -  Animation"
"total  -  Comedy  -  Mexico",214,"Mexico","total  -  Comedy"
"total  -  Crime  -  Mexico",103,"Mexico","total  -  Crime"
"total  -  Drama  -  Mexico",322,"Mexico","total  -  Drama"
"total  -  Horror  -  Mexico",28,"Mexico","total  -  Horror"
"total  -  Mystery  -  Mexico",44,"Mexico","total  -  Mystery"
"total  -  Romance  -  Mexico",110,"Mexico","total  -  Romance"
"total  -  Thriller  -  Mexico",65,"Mexico","total  -  Thriller"
"total  -  Action  -  Morocco",238,"Morocco","total  -  Action"
"total  -  Adventure  -  Morocco",92,"Morocco","total  -  Adventure"
"total  -  Animation  -  Morocco",34,"Morocco","total  -  Animation"
"total  -  Comedy  -  Morocco",176,"Morocco","total  -  Comedy"
"total  -  Crime  -  Morocco",181,"Morocco","total  -  Crime"
"total  -  Drama  -  Morocco",363,"Morocco","total  -  Drama"
"total  -  Mystery  -  Morocco",57,"Morocco","total  -  Mystery"
"total  -  Romance  -  Morocco",75,"Morocco","total  -  Romance"
"total  -  Sci Fi  -  Morocco",28,"Morocco","total  -  Sci Fi"
"total  -  Thriller  -  Morocco",101,"Morocco","total  -  Thriller"
"total  -  Action  -  Netherlands",147,"Netherlands","total  -  Action"
"total  -  Adventure  -  Netherlands",111,"Netherlands","total  -  Adventure"
"total  -  Animation  -  Netherlands",54,"Netherlands","total  -  Animation"
"total  -  Comedy  -  Netherlands",162,"Netherlands","total  -  Comedy"
"total  -  Crime  -  Netherlands",159,"Netherlands","total  -  Crime"
"total  -  Drama  -  Netherlands",333,"Netherlands","total  -  Drama"
"total  -  Fantasy  -  Netherlands",40,"Netherlands","total  -  Fantasy"
"total  -  Mystery  -  Netherlands",55,"Netherlands","total  -  Mystery"
"total  -  Romance  -  Netherlands",85,"Netherlands","total  -  Romance"
"total  -  Thriller  -  Netherlands",73,"Netherlands","total  -  Thriller"
"total  -  Action  -  New Caledonia",252,"New Caledonia","total  -  Action"
"total  -  Adventure  -  New Caledonia",134,"New Caledonia","total  -  Adventure"
"total  -  Animation  -  New Caledonia",64,"New Caledonia","total  -  Animation"
"total  -  Comedy  -  New Caledonia",144,"New Caledonia","total  -  Comedy"
"total  -  Crime  -  New Caledonia",132,"New Caledonia","total  -  Crime"
"total  -  Drama  -  New Caledonia",341,"New Caledonia","total  -  Drama"
"total  -  Fantasy  -  New Caledonia",52,"New Caledonia","total  -  Fantasy"
"total  -  Mystery  -  New Caledonia",36,"New Caledonia","total  -  Mystery"
"total  -  Romance  -  New Caledonia",58,"New Caledonia","total  -  Romance"
"total  -  Thriller  -  New Caledonia",75,"New Caledonia","total  -  Thriller"
"total  -  Action  -  New Zealand",196,"New Zealand","total  -  Action"
"total  -  Adventure  -  New Zealand",113,"New Zealand","total  -  Adventure"
"total  -  Animation  -  New Zealand",69,"New Zealand","total  -  Animation"
"total  -  Comedy  -  New Zealand",172,"New Zealand","total  -  Comedy"
"total  -  Crime  -  New Zealand",140,"New Zealand","total  -  Crime"
"total  -  Drama  -  New Zealand",310,"New Zealand","total  -  Drama"
"total  -  Mystery  -  New Zealand",49,"New Zealand","total  -  Mystery"
"total  -  Romance  -  New Zealand",58,"New Zealand","total  -  Romance"
"total  -  Sci Fi  -  New Zealand",35,"New Zealand","total  -  Sci Fi"
"total  -  Thriller  -  New Zealand",71,"New Zealand","total  -  Thriller"
"total  -  Action  -  Nicaragua",134,"Nicaragua","total  -  Action"
"total  -  Adventure  -  Nicaragua",79,"Nicaragua","total  -  Adventure"
"total  -  Animation  -  Nicaragua",44,"Nicaragua","total  -  Animation"
"total  -  Comedy  -  Nicaragua",187,"Nicaragua","total  -  Comedy"
"total  -  Crime  -  Nicaragua",104,"Nicaragua","total  -  Crime"
"total  -  Drama  -  Nicaragua",305,"Nicaragua","total  -  Drama"
"total  -  Music  -  Nicaragua",30,"Nicaragua","total  -  Music"
"total  -  Mystery  -  Nicaragua",42,"Nicaragua","total  -  Mystery"
"total  -  Romance  -  Nicaragua",125,"Nicaragua","total  -  Romance"
"total  -  Thriller  -  Nicaragua",75,"Nicaragua","total  -  Thriller"
"total  -  Action  -  Nigeria",183,"Nigeria","total  -  Action"
"total  -  Adventure  -  Nigeria",61,"Nigeria","total  -  Adventure"
"total  -  Comedy  -  Nigeria",142,"Nigeria","total  -  Comedy"
"total  -  Crime  -  Nigeria",139,"Nigeria","total  -  Crime"
"total  -  Drama  -  Nigeria",348,"Nigeria","total  -  Drama"
"total  -  Fantasy  -  Nigeria",31,"Nigeria","total  -  Fantasy"
"total  -  Mystery  -  Nigeria",65,"Nigeria","total  -  Mystery"
"total  -  Romance  -  Nigeria",117,"Nigeria","total  -  Romance"
"total  -  Sci Fi  -  Nigeria",37,"Nigeria","total  -  Sci Fi"
"total  -  Thriller  -  Nigeria",70,"Nigeria","total  -  Thriller"
"total  -  Action  -  Norway",179,"Norway","total  -  Action"
"total  -  Adventure  -  Norway",111,"Norway","total  -  Adventure"
"total  -  Animation  -  Norway",47,"Norway","total  -  Animation"
"total  -  Comedy  -  Norway",180,"Norway","total  -  Comedy"
"total  -  Crime  -  Norway",147,"Norway","total  -  Crime"
"total  -  Drama  -  Norway",355,"Norway","total  -  Drama"
"total  -  Fantasy  -  Norway",36,"Norway","total  -  Fantasy"
"total  -  Mystery  -  Norway",47,"Norway","total  -  Mystery"
"total  -  Romance  -  Norway",99,"Norway","total  -  Romance"
"total  -  Thriller  -  Norway",61,"Norway","total  -  Thriller"
"total  -  Action  -  Oman",189,"Oman","total  -  Action"
"total  -  Adventure  -  Oman",89,"Oman","total  -  Adventure"
"total  -  Comedy  -  Oman",130,"Oman","total  -  Comedy"
"total  -  Crime  -  Oman",115,"Oman","total  -  Crime"
"total  -  Drama  -  Oman",286,"Oman","total  -  Drama"
"total  -  Fantasy  -  Oman",37,"Oman","total  -  Fantasy"
"total  -  Horror  -  Oman",33,"Oman","total  -  Horror"
"total  -  Mystery  -  Oman",48,"Oman","total  -  Mystery"
"total  -  Romance  -  Oman",57,"Oman","total  -  Romance"
"total  -  Thriller  -  Oman",90,"Oman","total  -  Thriller"
"total  -  Action  -  Pakistan",284,"Pakistan","total  -  Action"
"total  -  Adventure  -  Pakistan",92,"Pakistan","total  -  Adventure"
"total  -  Comedy  -  Pakistan",165,"Pakistan","total  -  Comedy"
"total  -  Crime  -  Pakistan",226,"Pakistan","total  -  Crime"
"total  -  Drama  -  Pakistan",387,"Pakistan","total  -  Drama"
"total  -  Horror  -  Pakistan",34,"Pakistan","total  -  Horror"
"total  -  Mystery  -  Pakistan",93,"Pakistan","total  -  Mystery"
"total  -  Romance  -  Pakistan",55,"Pakistan","total  -  Romance"
"total  -  Sci Fi  -  Pakistan",37,"Pakistan","total  -  Sci Fi"
"total  -  Thriller  -  Pakistan",100,"Pakistan","total  -  Thriller"
"total  -  Action  -  Panama",145,"Panama","total  -  Action"
"total  -  Adventure  -  Panama",105,"Panama","total  -  Adventure"
"total  -  Animation  -  Panama",65,"Panama","total  -  Animation"
"total  -  Comedy  -  Panama",193,"Panama","total  -  Comedy"
"total  -  Crime  -  Panama",122,"Panama","total  -  Crime"
"total  -  Drama  -  Panama",316,"Panama","total  -  Drama"
"total  -  Fantasy  -  Panama",24,"Panama","total  -  Fantasy"
"total  -  Horror  -  Panama",24,"Panama","total  -  Horror"
"total  -  Mystery  -  Panama",37,"Panama","total  -  Mystery"
"total  -  Romance  -  Panama",122,"Panama","total  -  Romance"
"total  -  Thriller  -  Panama",76,"Panama","total  -  Thriller"
"total  -  Action  -  Paraguay",137,"Paraguay","total  -  Action"
"total  -  Adventure  -  Paraguay",96,"Paraguay","total  -  Adventure"
"total  -  Animation  -  Paraguay",55,"Paraguay","total  -  Animation"
"total  -  Comedy  -  Paraguay",200,"Paraguay","total  -  Comedy"
"total  -  Crime  -  Paraguay",118,"Paraguay","total  -  Crime"
"total  -  Drama  -  Paraguay",328,"Paraguay","total  -  Drama"
"total  -  Music  -  Paraguay",31,"Paraguay","total  -  Music"
"total  -  Mystery  -  Paraguay",47,"Paraguay","total  -  Mystery"
"total  -  Romance  -  Paraguay",120,"Paraguay","total  -  Romance"
"total  -  Thriller  -  Paraguay",77,"Paraguay","total  -  Thriller"
"total  -  Action  -  Peru",162,"Peru","total  -  Action"
"total  -  Adventure  -  Peru",115,"Peru","total  -  Adventure"
"total  -  Animation  -  Peru",67,"Peru","total  -  Animation"
"total  -  Comedy  -  Peru",186,"Peru","total  -  Comedy"
"total  -  Crime  -  Peru",109,"Peru","total  -  Crime"
"total  -  Drama  -  Peru",291,"Peru","total  -  Drama"
"total  -  Horror  -  Peru",25,"Peru","total  -  Horror"
"total  -  Mystery  -  Peru",42,"Peru","total  -  Mystery"
"total  -  Romance  -  Peru",112,"Peru","total  -  Romance"
"total  -  Thriller  -  Peru",68,"Peru","total  -  Thriller"
"total  -  Action  -  Philippines",200,"Philippines","total  -  Action"
"total  -  Adventure  -  Philippines",99,"Philippines","total  -  Adventure"
"total  -  Comedy  -  Philippines",172,"Philippines","total  -  Comedy"
"total  -  Crime  -  Philippines",114,"Philippines","total  -  Crime"
"total  -  Drama  -  Philippines",322,"Philippines","total  -  Drama"
"total  -  Horror  -  Philippines",44,"Philippines","total  -  Horror"
"total  -  Mystery  -  Philippines",60,"Philippines","total  -  Mystery"
"total  -  Romance  -  Philippines",109,"Philippines","total  -  Romance"
"total  -  Sci Fi  -  Philippines",51,"Philippines","total  -  Sci Fi"
"total  -  Thriller  -  Philippines",96,"Philippines","total  -  Thriller"
"total  -  Action  -  Poland",149,"Poland","total  -  Action"
"total  -  Adventure  -  Poland",159,"Poland","total  -  Adventure"
"total  -  Animation  -  Poland",102,"Poland","total  -  Animation"
"total  -  Comedy  -  Poland",208,"Poland","total  -  Comedy"
"total  -  Crime  -  Poland",138,"Poland","total  -  Crime"
"total  -  Drama  -  Poland",321,"Poland","total  -  Drama"
"total  -  Horror  -  Poland",38,"Poland","total  -  Horror"
"total  -  Mystery  -  Poland",54,"Poland","total  -  Mystery"
"total  -  Romance  -  Poland",75,"Poland","total  -  Romance"
"total  -  Thriller  -  Poland",80,"Poland","total  -  Thriller"
"total  -  Action  -  Portugal",162,"Portugal","total  -  Action"
"total  -  Adventure  -  Portugal",98,"Portugal","total  -  Adventure"
"total  -  Animation  -  Portugal",38,"Portugal","total  -  Animation"
"total  -  Comedy  -  Portugal",170,"Portugal","total  -  Comedy"
"total  -  Crime  -  Portugal",113,"Portugal","total  -  Crime"
"total  -  Drama  -  Portugal",317,"Portugal","total  -  Drama"
"total  -  Family  -  Portugal",40,"Portugal","total  -  Family"
"total  -  Music  -  Portugal",53,"Portugal","total  -  Music"
"total  -  Mystery  -  Portugal",38,"Portugal","total  -  Mystery"
"total  -  Romance  -  Portugal",96,"Portugal","total  -  Romance"
"total  -  Thriller  -  Portugal",74,"Portugal","total  -  Thriller"
"total  -  Action  -  Qatar",206,"Qatar","total  -  Action"
"total  -  Adventure  -  Qatar",109,"Qatar","total  -  Adventure"
"total  -  Animation  -  Qatar",31,"Qatar","total  -  Animation"
"total  -  Comedy  -  Qatar",163,"Qatar","total  -  Comedy"
"total  -  Crime  -  Qatar",129,"Qatar","total  -  Crime"
"total  -  Drama  -  Qatar",345,"Qatar","total  -  Drama"
"total  -  Fantasy  -  Qatar",43,"Qatar","total  -  Fantasy"
"total  -  Mystery  -  Qatar",49,"Qatar","total  -  Mystery"
"total  -  Romance  -  Qatar",103,"Qatar","total  -  Romance"
"total  -  Thriller  -  Qatar",92,"Qatar","total  -  Thriller"
"total  -  Action  -  Romania",169,"Romania","total  -  Action"
"total  -  Adventure  -  Romania",95,"Romania","total  -  Adventure"
"total  -  Comedy  -  Romania",162,"Romania","total  -  Comedy"
"total  -  Crime  -  Romania",145,"Romania","total  -  Crime"
"total  -  Documentary  -  Romania",28,"Romania","total  -  Documentary"
"total  -  Drama  -  Romania",366,"Romania","total  -  Drama"
"total  -  Fantasy  -  Romania",40,"Romania","total  -  Fantasy"
"total  -  Mystery  -  Romania",68,"Romania","total  -  Mystery"
"total  -  Romance  -  Romania",101,"Romania","total  -  Romance"
"total  -  Thriller  -  Romania",86,"Romania","total  -  Thriller"
"total  -  Action  -  Russia",244,"Russia","total  -  Action"
"total  -  Adventure  -  Russia",124,"Russia","total  -  Adventure"
"total  -  Animation  -  Russia",57,"Russia","total  -  Animation"
"total  -  Comedy  -  Russia",185,"Russia","total  -  Comedy"
"total  -  Crime  -  Russia",210,"Russia","total  -  Crime"
"total  -  Drama  -  Russia",352,"Russia","total  -  Drama"
"total  -  Fantasy  -  Russia",33,"Russia","total  -  Fantasy"
"total  -  Mystery  -  Russia",49,"Russia","total  -  Mystery"
"total  -  Romance  -  Russia",64,"Russia","total  -  Romance"
"total  -  Thriller  -  Russia",69,"Russia","total  -  Thriller"
"total  -  Action  -  Réunion",203,"Réunion","total  -  Action"
"total  -  Adventure  -  Réunion",123,"Réunion","total  -  Adventure"
"total  -  Animation  -  Réunion",58,"Réunion","total  -  Animation"
"total  -  Comedy  -  Réunion",177,"Réunion","total  -  Comedy"
"total  -  Crime  -  Réunion",113,"Réunion","total  -  Crime"
"total  -  Drama  -  Réunion",336,"Réunion","total  -  Drama"
"total  -  Fantasy  -  Réunion",50,"Réunion","total  -  Fantasy"
"total  -  Mystery  -  Réunion",42,"Réunion","total  -  Mystery"
"total  -  Romance  -  Réunion",75,"Réunion","total  -  Romance"
"total  -  Thriller  -  Réunion",69,"Réunion","total  -  Thriller"
"total  -  Action  -  Saudi Arabia",224,"Saudi Arabia","total  -  Action"
"total  -  Adventure  -  Saudi Arabia",88,"Saudi Arabia","total  -  Adventure"
"total  -  Animation  -  Saudi Arabia",43,"Saudi Arabia","total  -  Animation"
"total  -  Comedy  -  Saudi Arabia",157,"Saudi Arabia","total  -  Comedy"
"total  -  Crime  -  Saudi Arabia",148,"Saudi Arabia","total  -  Crime"
"total  -  Drama  -  Saudi Arabia",349,"Saudi Arabia","total  -  Drama"
"total  -  Horror  -  Saudi Arabia",36,"Saudi Arabia","total  -  Horror"
"total  -  Mystery  -  Saudi Arabia",51,"Saudi Arabia","total  -  Mystery"
"total  -  Romance  -  Saudi Arabia",76,"Saudi Arabia","total  -  Romance"
"total  -  Thriller  -  Saudi Arabia",98,"Saudi Arabia","total  -  Thriller"
"total  -  Action  -  Serbia",205,"Serbia","total  -  Action"
"total  -  Adventure  -  Serbia",104,"Serbia","total  -  Adventure"
"total  -  Animation  -  Serbia",37,"Serbia","total  -  Animation"
"total  -  Comedy  -  Serbia",188,"Serbia","total  -  Comedy"
"total  -  Crime  -  Serbia",155,"Serbia","total  -  Crime"
"total  -  Documentary  -  Serbia",26,"Serbia","total  -  Documentary"
"total  -  Drama  -  Serbia",328,"Serbia","total  -  Drama"
"total  -  Fantasy  -  Serbia",26,"Serbia","total  -  Fantasy"
"total  -  Mystery  -  Serbia",46,"Serbia","total  -  Mystery"
"total  -  Romance  -  Serbia",95,"Serbia","total  -  Romance"
"total  -  Thriller  -  Serbia",87,"Serbia","total  -  Thriller"
"total  -  Action  -  Singapore",214,"Singapore","total  -  Action"
"total  -  Adventure  -  Singapore",96,"Singapore","total  -  Adventure"
"total  -  Comedy  -  Singapore",162,"Singapore","total  -  Comedy"
"total  -  Crime  -  Singapore",128,"Singapore","total  -  Crime"
"total  -  Drama  -  Singapore",315,"Singapore","total  -  Drama"
"total  -  Horror  -  Singapore",35,"Singapore","total  -  Horror"
"total  -  Mystery  -  Singapore",71,"Singapore","total  -  Mystery"
"total  -  Romance  -  Singapore",92,"Singapore","total  -  Romance"
"total  -  Sci Fi  -  Singapore",52,"Singapore","total  -  Sci Fi"
"total  -  Thriller  -  Singapore",88,"Singapore","total  -  Thriller"
"total  -  Action  -  Slovakia",185,"Slovakia","total  -  Action"
"total  -  Adventure  -  Slovakia",132,"Slovakia","total  -  Adventure"
"total  -  Animation  -  Slovakia",71,"Slovakia","total  -  Animation"
"total  -  Comedy  -  Slovakia",196,"Slovakia","total  -  Comedy"
"total  -  Crime  -  Slovakia",138,"Slovakia","total  -  Crime"
"total  -  Documentary  -  Slovakia",44,"Slovakia","total  -  Documentary"
"total  -  Drama  -  Slovakia",312,"Slovakia","total  -  Drama"
"total  -  Mystery  -  Slovakia",47,"Slovakia","total  -  Mystery"
"total  -  Romance  -  Slovakia",76,"Slovakia","total  -  Romance"
"total  -  Thriller  -  Slovakia",56,"Slovakia","total  -  Thriller"
"total  -  Action  -  Slovenia",184,"Slovenia","total  -  Action"
"total  -  Adventure  -  Slovenia",107,"Slovenia","total  -  Adventure"
"total  -  Animation  -  Slovenia",41,"Slovenia","total  -  Animation"
"total  -  Comedy  -  Slovenia",193,"Slovenia","total  -  Comedy"
"total  -  Crime  -  Slovenia",117,"Slovenia","total  -  Crime"
"total  -  Documentary  -  Slovenia",30,"Slovenia","total  -  Documentary"
"total  -  Drama  -  Slovenia",278,"Slovenia","total  -  Drama"
"total  -  Fantasy  -  Slovenia",30,"Slovenia","total  -  Fantasy"
"total  -  Mystery  -  Slovenia",38,"Slovenia","total  -  Mystery"
"total  -  Romance  -  Slovenia",79,"Slovenia","total  -  Romance"
"total  -  Thriller  -  Slovenia",65,"Slovenia","total  -  Thriller"
"total  -  Action  -  South Africa",183,"South Africa","total  -  Action"
"total  -  Adventure  -  South Africa",99,"South Africa","total  -  Adventure"
"total  -  Animation  -  South Africa",45,"South Africa","total  -  Animation"
"total  -  Comedy  -  South Africa",195,"South Africa","total  -  Comedy"
"total  -  Crime  -  South Africa",114,"South Africa","total  -  Crime"
"total  -  Drama  -  South Africa",340,"South Africa","total  -  Drama"
"total  -  Mystery  -  South Africa",60,"South Africa","total  -  Mystery"
"total  -  Romance  -  South Africa",99,"South Africa","total  -  Romance"
"total  -  Sci Fi  -  South Africa",49,"South Africa","total  -  Sci Fi"
"total  -  Thriller  -  South Africa",74,"South Africa","total  -  Thriller"
"total  -  Action  -  South Korea",186,"South Korea","total  -  Action"
"total  -  Adventure  -  South Korea",78,"South Korea","total  -  Adventure"
"total  -  Comedy  -  South Korea",156,"South Korea","total  -  Comedy"
"total  -  Crime  -  South Korea",88,"South Korea","total  -  Crime"
"total  -  Drama  -  South Korea",308,"South Korea","total  -  Drama"
"total  -  Fantasy  -  South Korea",31,"South Korea","total  -  Fantasy"
"total  -  Horror  -  South Korea",34,"South Korea","total  -  Horror"
"total  -  Mystery  -  South Korea",40,"South Korea","total  -  Mystery"
"total  -  Romance  -  South Korea",103,"South Korea","total  -  Romance"
"total  -  Thriller  -  South Korea",85,"South Korea","total  -  Thriller"
