"country_name","genres","n"
"Canada","Documentary",35
"Canada","Drama",293
"Canada","Family",10
"Canada","Fantasy",25
"Canada","Film-Noir",3
"Canada","Game-Show",11
"Canada","History",5
"Canada","Horror",31
"Canada","Musical",2
"Canada","Mystery",61
"Canada","Reality-TV",27
"Canada","Romance",70
"Canada","Sci-Fi",35
"Canada","Sport",10
"Canada","Thriller",74
"Canada","War",5
"Chile","Action",130
"Chile","Adult",1
"Chile","Adventure",115
"Chile","Animation",76
"Chile","Biography",5
"Chile","Comedy",202
"Chile","Crime",104
"Chile","Documentary",12
"Chile","Drama",329
"Chile","Family",15
"Chile","Fantasy",20
"Chile","Film-Noir",2
"Chile","History",2
"Chile","Horror",26
"Chile","Music",35
"Chile","Musical",2
"Chile","Mystery",43
"Chile","Reality-TV",2
"Chile","Romance",124
"Chile","Sci-Fi",19
"Chile","Short",1
"Chile","Sport",7
"Chile","Thriller",64
"Chile","War",3
"Chile","Western",3
"Colombia","Action",144
"Colombia","Adult",2
"Colombia","Adventure",104
"Colombia","Animation",63
"Colombia","Biography",6
"Colombia","Comedy",192
"Colombia","Crime",113
"Colombia","Documentary",34
"Colombia","Drama",284
"Colombia","Family",15
"Colombia","Fantasy",23
"Colombia","Film-Noir",2
"Colombia","Horror",24
"Colombia","Music",16
"Colombia","Musical",7
"Colombia","Mystery",43
"Colombia","Reality-TV",3
"Colombia","Romance",113
"Colombia","Sci-Fi",16
"Colombia","Short",2
"Colombia","Sport",6
"Colombia","Thriller",79
"Colombia","War",2
"Colombia","Western",3
"Costa Rica","Action",123
"Costa Rica","Adult",2
"Costa Rica","Adventure",95
"Costa Rica","Animation",62
"Costa Rica","Biography",6
"Costa Rica","Comedy",202
"Costa Rica","Crime",101
"Costa Rica","Documentary",19
"Costa Rica","Drama",319
"Costa Rica","Family",17
"Costa Rica","Fantasy",18
"Costa Rica","Film-Noir",2
"Costa Rica","Game-Show",1
"Costa Rica","Horror",25
"Costa Rica","Music",32
"Costa Rica","Musical",3
"Costa Rica","Mystery",40
"Costa Rica","Reality-TV",4
"Costa Rica","Romance",133
"Costa Rica","Sci-Fi",16
"Costa Rica","Short",1
"Costa Rica","Sport",8
"Costa Rica","Thriller",76
"Costa Rica","War",2
"Costa Rica","Western",3
"Croatia","Action",173
"Croatia","Adult",5
"Croatia","Adventure",108
"Croatia","Animation",53
"Croatia","Biography",10
"Croatia","Comedy",206
"Croatia","Crime",141
"Croatia","Documentary",32
"Croatia","Drama",307
"Croatia","Family",19
"Croatia","Fantasy",24
"Croatia","Film-Noir",3
"Croatia","Game-Show",10
"Croatia","History",4
"Croatia","Horror",22
"Croatia","Music",3
"Croatia","Musical",1
"Croatia","Mystery",48
"Croatia","Reality-TV",14
"Croatia","Romance",89
"Croatia","Sci-Fi",18
"Croatia","Sport",15
"Croatia","Talk-Show",1
"Croatia","Thriller",69
"Croatia","War",4
"Cyprus","Action",195
"Cyprus","Adult",3
"Cyprus","Adventure",122
"Cyprus","Animation",47
"Cyprus","Biography",10
"Cyprus","Comedy",195
"Cyprus","Crime",129
"Cyprus","Documentary",22
"Cyprus","Drama",330
"Cyprus","Family",24
"Cyprus","Fantasy",27
"Cyprus","Film-Noir",2
"Cyprus","Game-Show",8
"Cyprus","History",3
"Cyprus","Horror",24
"Cyprus","Music",2
"Cyprus","Musical",2
"Cyprus","Mystery",50
"Cyprus","Reality-TV",12
"Cyprus","Romance",94
"Cyprus","Sci-Fi",44
"Cyprus","Sport",9
"Cyprus","Thriller",67
"Cyprus","War",4
"Cyprus","Western",1
"Czech Republic","Action",196
"Czech Republic","Adult",2
"Czech Republic","Adventure",145
"Czech Republic","Animation",81
"Czech Republic","Biography",15
"Czech Republic","Comedy",196
"Czech Republic","Crime",135
"Czech Republic","Documentary",38
"Czech Republic","Drama",298
"Czech Republic","Family",22
"Czech Republic","Fantasy",45
"Czech Republic","Film-Noir",2
"Czech Republic","Game-Show",12
"Czech Republic","History",2
"Czech Republic","Horror",31
"Czech Republic","Music",7
"Czech Republic","Musical",5
"Czech Republic","Mystery",54
"Czech Republic","Reality-TV",17
"Czech Republic","Romance",70
"Czech Republic","Sci-Fi",15
"Czech Republic","Sport",12
"Czech Republic","Thriller",53
"Czech Republic","War",3
"Denmark","Action",186
"Denmark","Adult",5
"Denmark","Adventure",114
"Denmark","Animation",54
"Denmark","Biography",14
"Denmark","Comedy",184
"Denmark","Crime",150
"Denmark","Documentary",31
"Denmark","Drama",319
"Denmark","Family",18
"Denmark","Fantasy",37
"Denmark","Film-Noir",2
"Denmark","Game-Show",11
"Denmark","History",6
"Denmark","Horror",22
"Denmark","Music",1
"Denmark","Musical",2
"Denmark","Mystery",54
"Denmark","Reality-TV",23
"Denmark","Romance",85
"Denmark","Sci-Fi",19
"Denmark","Short",1
"Denmark","Sport",12
"Denmark","Thriller",66
"Denmark","War",11
"Denmark","Western",5
"Dominican Republic","Action",175
"Dominican Republic","Adult",1
"Dominican Republic","Adventure",103
"Dominican Republic","Animation",53
"Dominican Republic","Biography",6
"Dominican Republic","Comedy",163
"Dominican Republic","Crime",119
"Dominican Republic","Documentary",14
"Dominican Republic","Drama",276
"Dominican Republic","Family",18
"Dominican Republic","Fantasy",33
"Dominican Republic","Film-Noir",2
"Dominican Republic","Game-Show",2
"Dominican Republic","History",2
"Dominican Republic","Horror",26
"Dominican Republic","Music",32
"Dominican Republic","Musical",6
"Dominican Republic","Mystery",34
"Dominican Republic","Reality-TV",3
"Dominican Republic","Romance",85
"Dominican Republic","Sci-Fi",20
"Dominican Republic","Short",2
"Dominican Republic","Sport",7
"Dominican Republic","Thriller",80
"Dominican Republic","War",4
"Dominican Republic","Western",2
"Ecuador","Action",146
"Ecuador","Adult",1
